Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,N5XWD,444.300000,+,5.000000,Tone,123.0,123.0,023,NN,FM,5.00,S,,,,,
2,HOUUHF,442.500000,+,5.000000,Tone,123.0,123.0,023,NN,FM,5.00,,,,,,
3,HOUEOC,146.840000,-,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,,,,,
4,ARESHC,147.000000,+,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,,,,,
5,WB5UGT,444.725000,+,5.000000,Tone,203.5,203.5,023,NN,FM,5.00,,,,,,
6,KA5GLX,442.750000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,W5WP,442.000000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,,,,,,
8,N5FIJ,146.760000,-,0.600000,Tone,162.2,162.2,023,NN,FM,5.00,,,,,,
9,W5RPT,145.470000,-,0.600000,Tone,123.0,123.0,023,NN,NFM,5.00,,,,,,
10,KD5DX,443.350000,+,5.000000,Tone,123.0,123.0,023,NN,FM,5.00,,,,,,
11,KD5DX,145.290000,-,0.600000,Tone,123.0,123.0,023,NN,NFM,5.00,,,,,,
12,WA5PC,147.180000,+,0.600000,Tone,123.0,123.0,023,NN,FM,5.00,,,,,,
13,KA5HSA,444.800000,+,5.000000,Tone,151.4,151.4,023,NN,FM,5.00,,,,,,
14,KE5LGD,441.875000,+,5.000000,Tone,114.8,114.8,023,NN,FM,5.00,,,,,,
15,KD5HAL,145.490000,-,0.600000,Tone,123.0,123.0,023,NN,NFM,5.00,,,,,,
16,SWARNV,146.920000,-,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,,,,,
17,SWARNU,443.825000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,,,,,,
18,K5DX,147.360000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
19,WB5UGT,29.640000,-,0.100000,Tone,203.5,203.5,023,NN,NFM,10.00,,,,,,
20,W5HDR,146.470000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,W5HDR,440.600000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,K5BAY,146.780000,-,0.600000,Tone,123.0,123.0,023,NN,FM,5.00,,,,,,
23,WR5AAA,146.880000,-,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,,,,,
24,W5HJL,146.940000,-,0.600000,Tone,167.9,167.9,023,NN,FM,5.00,,,,,,
25,N5TRS,145.370000,-,0.600000,Tone,123.0,123.0,023,NN,NFM,5.00,,,,,,
26,KE5VJH,443.250000,+,5.000000,Tone,123.0,123.0,023,NN,FM,5.00,,,,,,
27,W5SI,147.280000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
28,KA5QG,145.110000,-,0.600000,Tone,123.0,123.0,023,NN,NFM,5.00,,,,,,
29,KTYRAC,147.200000,+,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,,,,,
30,SKYKAT,444.075000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,,,,,,
31,NACRPT,444.050000,+,5.000000,Tone,141.3,141.3,023,NN,FM,5.00,S,,,,,
32,W5NAC,147.320000,+,0.600000,Tone,141.3,141.3,023,NN,FM,5.00,S,,,,,
33,WD5CFJ,145.030000,,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
34,KD5KHV,146.800000,-,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,S,,,,,
35,WD5CFJ,442.175000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,S,,,,,
36,WB5DGR,442.250000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,S,,,,,
37,W5DCW,442.525000,+,5.000000,Tone,127.3,127.3,023,NN,FM,5.00,S,,,,,
38,W5JON,442.950000,+,5.000000,Tone,123.0,123.0,023,NN,FM,5.00,S,,,,,
39,W5WFD,444.100000,+,5.000000,Tone,136.5,136.5,023,NN,FM,5.00,S,,,,,
40,KB5LS,444.575000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,S,,,,,
41,KD0RW,444.675000,+,5.000000,Tone,192.8,192.8,023,NN,FM,5.00,S,,,,,
42,N5PJY,147.020000,+,0.600000,Tone,136.5,136.5,023,NN,FM,5.00,S,,,,,
43,WA5AIR,442.700000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,S,,,,,
150,WQKT31,463.950000,,0.600000,DTCS,88.5,88.5,023,NN,FM,5.00,,,,,,
151,KXH223,155.265000,,0.600000,Tone,146.2,146.2,023,NN,FM,5.00,,,,,,
152,WNXB49,154.220000,,0.600000,Tone,114.8,114.8,023,NN,FM,5.00,,,,,,
153,WPKP79,489.637500,,0.600000,Tone,146.2,146.2,023,NN,FM,12.50,,,,,,
200,WB5PCV,146.610000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
201,AUS146,146.680000,-,0.600000,Tone,123.0,123.0,023,NN,FM,5.00,S,,,,,
202,W5KA,146.780000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
203,W5WXW,146.840000,-,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,S,,,,,
204,N0GSZ,146.860000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
205,W5KA,146.880000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
206,W3MRC,146.900000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
207,K5GJ,147.300000,-,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,S,,,,,
208,W5MOT,147.320000,-,0.600000,Tone,114.8,114.8,023,NN,FM,5.00,S,,,,,
209,K5TRA,441.525000,+,5.000000,Tone,107.2,107.2,023,NN,FM,5.00,S,,,,,
210,W5JWB,441.775000,+,5.000000,Tone,131.8,131.8,023,NN,FM,5.00,S,,,,,
211,KC5CFU,441.825000,+,5.000000,Tone,114.8,114.8,023,NN,FM,5.00,S,,,,,
212,N5JGX,441.875000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
213,W5TRI,442.025000,+,5.000000,Tone,114.8,114.8,023,NN,FM,5.00,S,,,,,
214,AA5BT,442.150000,+,5.000000,Tone,186.2,186.2,023,NN,FM,5.00,S,,,,,
215,KN5X,442.275000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
216,KI4MS,442.425000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
217,K5TCR,442.600000,+,5.000000,Tone,141.3,141.3,023,NN,FM,5.00,S,,,,,
218,AUS442,442.650000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
219,K5TRA,443.075000,+,5.000000,Tone,123.0,123.0,023,NN,FM,5.00,S,,,,,
220,AI5TX,443.625000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
221,AI5TX,443.650000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
222,K5GJ,443.925000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
223,AI5TX,443.950000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
224,WB5PCV,444.000000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
225,W5KA,444.100000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
226,W5KA,444.200000,+,5.000000,Tone,107.2,107.2,023,NN,FM,5.00,S,,,,,
227,K5UUT,444.350000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
228,WB5PCV,444.400000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,S,,,,,
229,W3MRC,444.600000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
230,AA5R,444.775000,+,5.000000,Tone,110.9,110.9,023,NN,FM,5.00,S,,,,,
231,N5RVD,444.950000,+,5.000000,Tone,110.9,110.9,023,NN,FM,5.00,S,,,,,
232,K5TRA,927.125000,-,25.000000,Tone,103.5,103.5,023,NN,FM,12.50,S,,,,,
233,K5TRA,927.137500,-,25.000000,Tone,131.8,131.8,023,NN,FM,12.50,S,,,,,
234,WA6UFQ,927.162500,-,25.000000,Tone,151.4,151.4,023,NN,FM,12.50,S,,,,,
500,FRS 1,462.562500,,0.600000,,67.0,67.0,023,NN,NFM,12.50,,,,,,
501,FRS 2,462.587500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
502,FRS 3,462.612500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
503,FRS 4,462.637500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
504,FRS 5,462.662500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
505,FRS 6,462.687500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
506,FRS 7,462.712500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
507,FRS 8,467.562500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
508,FRS 9,467.587500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
509,FRS 10,467.612500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
510,FRS 11,467.637500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
511,FRS 12,467.662500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
512,FRS 13,467.687500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
513,FRS 14,467.712500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
514,GMRS 1,462.550000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
515,GMRS 2,462.575000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
516,GMRS 3,462.600000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
517,GMRS 4,462.625000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
518,GMRS 5,462.650000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
519,GMRS 6,462.675000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
520,GMRS 7,462.700000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
521,GMRS 8,462.725000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
522,GMRS 9,462.562500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
523,GMRS10,462.587500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
